name,quantity,region,service_id,sku,"total_price, USD",notes
N1 Predefined Instance Core running in Melbourne,2920.0,australia-southeast2,6F81-5844-456A,8127-289B-AF2D,130.97952,
N1 Predefined Instance Ram running in Melbourne,10950.0,australia-southeast2,6F81-5844-456A,8412-9F62-9561,65.82045,
SSD backed PD Capacity in Melbourne,100.0,australia-southeast2,6F81-5844-456A,140F-20DA-4493,23,
Standard Storage Melbourne,3000.0,australia-southeast2,95FF-2EF5-5EA1,068D-BEA9-C4E7,64.26126,
,,,,,,
,,,,Total Price:,284.06123,
,,,,,,
"Prices are in US dollars, effective date is 2024-02-03T06:34:03.714Z",,,,,,
,,,,,,
The estimated fees provided by Google Cloud Pricing Calculator are for discussion purposes only and are not binding on either you or Google. Your actual fees may be higher or lower than the estimate.,,,,,,
,,,,,,
Url to the estimate:,https://cloud.google.com/calculator?dl=CiQ0ZTIxYmE5Zi1kNGNlLTQ4YjEtOTNjNC1mOGVjZTE5NzQ4YTY=,,,,,,